Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2019",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Pueblo,1,1,0,0,0,0,1,0,0,1,"112,381"
,,Rifle,2,0,0,0,0,0,0,1,1,0,"9,782"
,,Silt,1,0,0,0,0,0,1,0,0,0,"3,215"
,,Sterling,1,0,0,0,0,0,0,0,1,0,"13,573"
,,Thornton2,3,1,2,0,0,0,0,2,1,2,"142,168"
,,Timnath,1,0,0,0,0,0,0,1,0,0,"5,027"
,,Westminster,3,0,1,0,0,0,0,0,3,1,"114,392"
,Universities and Colleges,,10,1,1,0,0,0,,,,,
,,"Colorado State University, Fort Collins",2,1,0,0,0,0,1,0,1,1,"37,676"
,,Fort Lewis College,1,0,0,0,0,0,0,1,0,0,"3,730"
,,"University of Colorado, Boulder",7,0,0,0,0,0,2,0,3,2,"39,302"
,,University of Northern Colorado,0,0,1,0,0,0,0,0,1,0,"15,825"
,Metropolitan Counties,,4,4,3,4,0,1,,,,,
,,Adams,1,0,0,1,0,0,1,0,1,0,
,,Douglas,2,2,0,2,0,0,1,1,2,2,
,,Jefferson,1,0,0,1,0,0,1,1,0,0,
,,Larimer,0,1,0,0,0,1,2,0,0,0,
,,Mesa,0,0,2,0,0,0,0,1,1,0,
,,Park,0,1,1,0,0,0,0,1,1,0,
,Nonmetropolitan Counties ,,7,1,3,0,0,2,,,,,
,,Bent,0,1,0,0,0,0,0,1,0,0,
,,Custer,1,0,0,0,0,0,1,0,0,0,
,,Fremont,1,0,1,0,0,0,0,1,1,0,
,,Garfield,1,0,0,0,0,2,1,1,1,0,
,,Huerfano,2,0,1,0,0,0,1,1,1,0,
,,San Miguel,1,0,0,0,0,0,0,0,1,0,
,,Summit,1,0,1,0,0,0,1,0,1,0,
Connecticut,Total,,48,16,11,0,1,0,,,,,
,Cities ,,45,12,11,0,1,0,,,,,
,,Bloomfield,0,1,0,0,0,0,0,0,1,0,"21,406"
,,Bridgeport,1,1,1,0,0,0,1,2,0,0,"144,908"
,,Bristol,1,0,0,0,0,0,1,0,0,0,"59,977"
,,Cheshire,0,1,0,0,0,0,0,1,0,0,"29,167"
,,Danbury,3,0,0,0,0,0,1,1,1,0,"85,167"
,,Derby,1,0,0,0,0,0,0,0,1,0,"12,468"
,,East Hartford,1,1,1,0,0,0,0,1,1,1,"49,842"
,,East Lyme,1,0,0,0,0,0,0,0,0,1,"18,588"
,,Enfield,2,0,0,0,0,0,0,0,1,1,"44,443"
